,STATE,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,EDUCATION,"TOTAL
VOTES",TOTAL ELECTORS
105,Andaman & Nicobar Islands,Winner,INC,Hand,MALE,52.0,GENERAL,Graduate Professional,95308,318471
106,Andaman & Nicobar Islands,Loser,BJP,Lotus,MALE,46.0,GENERAL,Graduate Professional,93901,318471
107,Andaman & Nicobar Islands,Loser,IND,Helicopter,MALE,61.0,GENERAL,Post Graduate,5341,318471
108,Andaman & Nicobar Islands,Loser,AAP,Broom,MALE,49.0,GENERAL,12th Pass,2839,318471
109,Andaman & Nicobar Islands,Loser,BSP,Elephant,MALE,43.0,SC,Post Graduate,2486,318471
1248,Andhra Pradesh,Loser,BJP,Lotus,MALE,48.0,GENERAL,Post Graduate,24418,1573009
142,Andhra Pradesh,Loser,BJP,Lotus,MALE,54.0,ST,Doctorate,17867,1451418
143,Andhra Pradesh,Loser,INC,Hand,FEMALE,46.0,ST,Graduate Professional,17730,1451418
144,Andhra Pradesh,Loser,IND,Cup & Saucer,MALE,61.0,ST,Illiterate,13826,1451418
145,Andhra Pradesh,Loser,IND,Bangles,FEMALE,37.0,ST,10th Pass,11236,1451418
818,Andhra Pradesh,Winner,TDP,Bicycle,MALE,53.0,GENERAL,Graduate,587918,1706119
820,Andhra Pradesh,Loser,JnP,Glass Tumbler,MALE,50.0,GENERAL,10th Pass,129205,1706119
821,Andhra Pradesh,Loser,INC,Hand,MALE,53.0,GENERAL,Post Graduate,14205,1706119
1576,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,17161,1672845
548,Andhra Pradesh,Loser,BSP,Elephant,MALE,45.0,SC,Others,20062,1566499
1574,Andhra Pradesh,Loser,TDP,Bicycle,MALE,60.0,GENERAL,Graduate,535259,1672845
141,Andhra Pradesh,Loser,JnP,Glass Tumbler,MALE,49.0,ST,10th Pass,42794,1451418
547,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20556,1566499
1573,Andhra Pradesh,Winner,YSRCP,Ceiling Fan,MALE,70.0,GENERAL,12th Pass,683830,1672845
546,Andhra Pradesh,Loser,INC,Hand,MALE,60.0,SC,Graduate Professional,24643,1566499
545,Andhra Pradesh,Loser,TDP,Bicycle,MALE,67.0,SC,Graduate Professional,549521,1566499
544,Andhra Pradesh,Winner,YSRCP,Ceiling Fan,MALE,68.0,SC,Post Graduate,686792,1566499
2212,Andhra Pradesh,Loser,INC,Hand,MALE,58.0,GENERAL,Graduate Professional,16261,1652994
1575,Andhra Pradesh,Loser,CPI(M),"Hammer, Sickle and Star",MALE,67.0,GENERAL,10th Pass,18830,1672845
140,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,47977,1451418
1601,Andhra Pradesh,Winner,YSRCP,Ceiling Fan,MALE,65.0,GENERAL,Graduate,739202,1556469
138,Andhra Pradesh,Winner,YSRCP,Ceiling Fan,FEMALE,26.0,ST,Graduate Professional,562190,1451418
96,Andhra Pradesh,Loser,INC,Hand,MALE,29.0,GENERAL,Graduate Professional,30079,1664160
97,Andhra Pradesh,Loser,CPI(M),Ears of Corn And Sickle,MALE,58.0,GENERAL,8th Pass,20294,1664160
98,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16466,1664160
2226,Andhra Pradesh,Winner,YSRCP,Ceiling Fan,MALE,52.0,GENERAL,10th Pass,436906,1829300
2005,Andhra Pradesh,Loser,INC,Hand,MALE,53.0,GENERAL,Post Graduate,13745,1553860
2004,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,25545,1553860
2003,Andhra Pradesh,Loser,JnP,Glass Tumbler,MALE,53.0,GENERAL,Post Graduate,31956,1553860
2002,Andhra Pradesh,Loser,YSRCP,Ceiling Fan,MALE,52.0,GENERAL,Post Graduate,527891,1553860
2001,Andhra Pradesh,Winner,TDP,Bicycle,MALE,32.0,GENERAL,Post Graduate,534544,1553860
1038,Andhra Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,17153,1563930
1037,Andhra Pradesh,Loser,JnP,Glass Tumbler,MALE,62.0,GENERAL,12th Pass,132648,1563930
