,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
0,Telangana,ADILABAD,SOYAM BAPU RAO,BJP,Lotus,MALE,ST,12th Pass
1,Telangana,ADILABAD,Godam Nagesh,TRS,Car,MALE,ST,Post Graduate
2,Telangana,ADILABAD,RATHOD RAMESH,INC,Hand,MALE,ST,12th Pass
3,Telangana,ADILABAD,NOTA,NOTA,,,,
4,Uttar Pradesh,AGRA,Satyapal Singh Baghel,BJP,Lotus,MALE,SC,Doctorate
5,Uttar Pradesh,AGRA,Manoj Kumar Soni,BSP,Elephant,MALE,SC,Post Graduate
6,Uttar Pradesh,AGRA,Preeta Harit,INC,Hand,FEMALE,SC,Post Graduate
7,Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Lotus,MALE,GENERAL,Doctorate
8,Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,NCP,Clock,MALE,GENERAL,Graduate
9,Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,VBA,Cup & Saucer,MALE,GENERAL,Graduate
10,Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,BJP,Lotus,MALE,GENERAL,Others
11,Gujarat,AHMEDABAD EAST,Gitaben Patel,INC,Hand,FEMALE,GENERAL,10th Pass
12,Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,BJP,Lotus,MALE,SC,Post Graduate
13,Gujarat,AHMEDABAD WEST,RAJU PARMAR,INC,Hand,MALE,SC,Graduate
14,Gujarat,AHMEDABAD WEST,NOTA,NOTA,,,,
15,Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,BSP,Elephant,MALE,SC,8th Pass
16,Rajasthan,AJMER,Bhagirath Chaudhary,BJP,Lotus,MALE,GENERAL,12th Pass
17,Rajasthan,AJMER,Riju Jhunjhunwala,INC,Hand,MALE,GENERAL,Graduate
18,Rajasthan,AJMER,Durga Lal Regar,BSP,Elephant,MALE,SC,Post Graduate
19,Rajasthan,AJMER,Vishram Babu,APoI,Coat,MALE,SC,Post Graduate
20,Uttar Pradesh,AKBARPUR,Devendra Singh 'Bhole',BJP,Lotus,MALE,GENERAL,10th Pass
21,Uttar Pradesh,AKBARPUR,Nisha Sachan,BSP,Elephant,FEMALE,GENERAL,Post Graduate
22,Uttar Pradesh,AKBARPUR,Rajaram Pal,INC,Hand,MALE,GENERAL,Graduate Professional
23,Maharashtra,AKOLA,Dhotre Sanjay Shamrao,BJP,Lotus,MALE,GENERAL,Graduate Professional
24,Maharashtra,AKOLA,Ambedkar (Adv) Prakash Yashwant,VBA,Cup & Saucer,MALE,GENERAL,Graduate Professional
25,Maharashtra,AKOLA,Hidayatullah Barakatullah Patel,INC,Hand,MALE,GENERAL,10th Pass
26,Kerala,ALAPPUZHA,Adv. A M ARIFF,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Graduate Professional
27,Kerala,ALAPPUZHA,Adv. SHANIMOL OSMAN,INC,Hand,FEMALE,GENERAL,Post Graduate
28,Kerala,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,BJP,Lotus,MALE,GENERAL,Doctorate
29,Kerala,ALATHUR,RAMYA HARIDAS,INC,Hand,FEMALE,SC,10th Pass
30,Kerala,ALATHUR,DR. P.K.BIJU,CPI(M),"Hammer, Sickle and Star",MALE,SC,Doctorate
31,Kerala,ALATHUR,T.V.BABU,BDJS,Pot,MALE,SC,10th Pass
32,Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,BJP,Lotus,MALE,GENERAL,10th Pass
33,Uttar Pradesh,ALIGARH,DR. AJEET BALIYAN,BSP,Elephant,MALE,GENERAL,Doctorate
34,Uttar Pradesh,ALIGARH,BIJENDRA SINGH CHAUDHARY,INC,Hand,MALE,GENERAL,Graduate
35,West Bengal,ALIPURDUARS,JOHN BARLA,BJP,Lotus,MALE,ST,8th Pass
36,West Bengal,ALIPURDUARS,DASRATH TIRKEY,AITC,Flowers and Grass,MALE,ST,Graduate
37,West Bengal,ALIPURDUARS,MILI ORAON,RSP,Spade & Stoker,FEMALE,ST,Post Graduate
38,West Bengal,ALIPURDUARS,MOHANLAL BASUMATA,INC,Hand,MALE,ST,Graduate Professional
39,West Bengal,ALIPURDUARS,NOTA,NOTA,,,,
40,Uttar Pradesh,ALLAHABAD,Rita Bahuguna Joshi,BJP,Lotus,FEMALE,GENERAL,Doctorate
41,Uttar Pradesh,ALLAHABAD,Rajendra Singh Patel,SP,Bicycle,MALE,GENERAL,Graduate
